island,site,transect,status,CCA,SOC,MA,TF,RUB,SD,OTH,ACRA,ACRO,ACRT,POCB,STYB,SERB,PORB,HCB,PORM,ISOS,HCM,HCE,HCP,FUN,Other
Salisi Besar,SBRC,2,2,0,0,2.473716759,13.29622758,36.4873222,1.23685838,0.927643785,0,8.596165739,0,0,12.43042672,0.742115028,1.113172542,0,9.523809524,0,9.894867038,0,0,0,0
Salisi Besar,SBRC,3,2,0,0,0,7.792207792,38.96103896,2.823263693,0,0,14.79390175,4.912478826,2.879728967,12.19649915,1.185770751,2.710333145,0,1.976284585,0,0,0,0,0,0
Salisi Besar,SBRC,4,2,0,0,0,7.781895183,34.4097406,8.999470619,0,0,14.34621493,2.117522499,8.893594494,15.82848068,0,4.340921122,0,2.964531498,0,0,0.317628375,0,0,0
Salisi Kecil,SKR,1,4,0,0,0,30.63115229,23.5089751,2.895193978,0.173711639,1.33178923,13.20208454,0,3.184713376,17.31325999,3.99536769,0,0,2.142443544,0,0.636942675,8.280254777,0,1.158077591,2.895193978
Salisi Kecil,SKR,2,4,1.001177856,0,0,19.84687868,27.44405183,2.591283863,0.412249706,0.176678445,23.02709069,0.588928151,5.594817432,13.19199058,0.942285041,0,0.647820966,4.770318021,0,3.003533569,0.530035336,0,0,0
Salisi Kecil,SKR,3,4,0,0,0,20.90784044,11.14167813,0,0,1.856946355,33.83768913,5.98349381,5.22696011,8.665749656,7.49656121,0,0,0.962861073,0,0,0.412654746,0,1.5130674,3.094910591
Salisi Kecil,SKR,4,4,1.307189542,0,0,38.30065359,9.869281046,0,0.326797386,1.437908497,15.03267974,0,11.76470588,13.00653595,0.653594771,0,1.045751634,2.614379085,2.549019608,3.267973856,0,0,0,3.39869281
Salisi Besar,SBRA,1,4,0.772200772,0.882515168,0,18.14671815,24.82073911,5.791505792,0,2.592388307,11.1969112,4.081632653,1.489244346,3.254274683,0.165471594,0.330943188,0.937672366,9.045780474,0.330943188,10.20408163,4.467733039,0,0,0.330943188
Salisi Besar,SBRA,2,4,1.728110599,0,0,13.07603687,26.03686636,9.619815668,0.806451613,12.38479263,8.870967742,0,3.513824885,6.739631336,0,1.843317972,0,4.377880184,0,7.258064516,0.576036866,0,0,0
Salisi Besar,SBRA,3,4,0.978698906,1.439263097,0,6.563039724,34.83016695,1.727115717,1.03626943,4.375359816,6.332757628,7.023603915,8.981001727,12.08981002,0,1.381692573,5.46919977,2.533103051,0,3.454231434,0,0,0.345423143,0
Salisi Besar,SBRA,4,4,0.508130081,1.829268293,0.609756098,4.06504065,41.66666667,1.524390244,0.254065041,0,6.910569106,0,33.48577236,7.723577236,0,0,0,0.863821138,0,0.254065041,0,0,0,0
Science blocks,SCR3,1,4,10.47737136,0,0,27.21636702,2.479851209,0,0.619962802,0,27.03037818,10.9733416,5.269683819,0,4.835709857,3.099814011,2.045877247,3.719776813,0,0,0,0,0,2.231866088
Science blocks,SCR3,2,4,9.856519027,0,0.311915159,32.50155958,3.555832813,0.623830318,0,0,31.19151591,0,3.43106675,0,2.495321273,4.366812227,0.810979414,0.68621335,4.865876482,1.809107923,0,0,0,6.550218341
Science blocks,SCR3,3,4,11.88550093,0,0,35.46981954,4.729309272,1.929060361,0.311138768,0,28.31362788,2.551337897,0.87118855,0.746733043,0.435594275,6.78282514,2.240199129,0.560049782,1.057871811,0.248911014,0,0,0.87118855,1.306782825
Science blocks,SCR3,4,4,13.37099812,0,0,17.13747646,0.941619586,0,3.201506591,0,39.04582549,0,3.075957313,4.017576899,8.913998745,1.443816698,6.403013183,0,0,0,0,0,0.62774639,1.255492781
Salisi Kecil,SKH,1,healthy,0.421940928,5.063291139,0,22.1217601,14.04460518,1.567209162,2.230259192,0,11.87462327,3.315250151,0,0,5.84689572,0,0.783604581,6.690777577,0,3.013863773,6.811332128,0.482218204,8.921036769,6.811332128
Salisi Kecil,SKH,2,healthy,5.988771054,0,0,21.64691204,1.621958827,0,2.121023082,0,22.95695571,0,0,0,2.183406114,0.998128509,2.370555209,4.928259513,0,0,1.996257018,0,8.608858391,22.20835933
Salisi Kecil,SKH,3,healthy,2.729340409,0,0,15.08718726,3.639120546,0,2.653525398,0,30.62926459,0,0,1.592115239,0,9.704321456,7.808946171,1.061410159,0,2.501895375,0,0,12.73692191,7.505686126
Salisi Kecil,SKH,4,healthy,6.436314363,0,0.474254743,14.70189702,0,0,2.16802168,0,25.74525745,1.219512195,0.81300813,0,6.300813008,0,24.11924119,4.403794038,0,4.539295393,0.745257453,0,2.574525745,4.403794038
Gusung Bontosua,GBH1,1,healthy,1.642710472,0,1.232032854,28.13141684,22.45037645,0,1.437371663,0,20.73921971,14.64750171,2.464065708,0,6.023271732,0.889801506,0,0,0,0,2.12183436,0,1.368925394,5.065023956
Gusung Bontosua,GBH1,2,healthy,12.86072773,0,0,9.096612296,2.69761606,0,0.752823087,0,41.65621079,8.030112923,0,0,9.033877039,0,0,0,7.779171895,1.254705144,0.878293601,0,3.952321205,9.786700125
Gusung Bontosua,GBH1,3,healthy,4.270051933,0,0,42.2965955,15.92613964,1.384881708,2.538949798,0,22.67743797,9.23254472,0,0,3.693017888,0,0,1.78880554,1.442585113,3.231390652,1.384881708,0,0.346220427,1.442585113
Gusung Bontosua,GBH1,4,healthy,1.74717369,0.924974306,0.513874615,27.95477903,3.031860226,1.336073998,4.624871531,0,3.18602261,0.462487153,2.004110997,0.71942446,2.46659815,0,0,9.044193217,21.32579651,10.48304214,0,0.616649538,0,21.32579651
Science blocks,SCH3,1,healthy,9.967672414,0,0,23.54525862,3.07112069,0,0,0,17.34913793,11.90732759,1.670258621,0,2.262931034,3.825431034,0,4.63362069,11.74568966,7.004310345,2.693965517,0,0.323275862,11.74568966
Science blocks,SCH3,2,healthy,6.222418358,2.074139453,0,21.75639894,1.58870256,5.472197705,1.147396293,0,4.810238305,0,0.6619594,0,1.279788173,4.633715799,0,7.325684025,27.05207414,7.325684025,0,0,0,31.37687555
Science blocks,SCH3,3,healthy,10.73336571,0,0,19.18406994,1.45701797,0.971345313,1.214181642,0,8.839242351,3.448275862,0,1.845556095,4.128217581,2.671199611,0,5.633802817,25.78921807,7.090820787,0.971345313,0,0.242836328,25.78921807
Science blocks,SCH3,4,healthy,6.274256145,0,0,38.55109961,3.557567917,0.970245796,0.64683053,0,33.0530401,1.617076326,0,0,3.816300129,0,0,0.905562743,7.373868047,1.034928849,0.388098318,0,0.323415265,8.279430789
